frequency,e',e''
200000000,1.7368,-0.0096
209600000,1.709,0.1711
219200000,1.7685,0.0117
228800000,1.7958,0.0448
238400000,1.7989,-0.0258
248000000,1.8528,0.0885
257600000,1.8328,0.0102
267200000,1.8284,0.1587
276800000,1.8337,0.0776
286400000,1.8255,0.04
296000000,1.8099,0.057
305600000,1.907,0.0518
315200000,1.853,-0.0102
324800000,1.8106,0.0135
334400000,1.8921,0.0012
344000000,1.8554,0.0745
353600000,1.8772,0.0315
363200000,1.8517,0.0061
372800000,1.8943,-0.0302
382400000,1.9011,0.0326
392000000,1.889,0.0457
401600000,1.8986,0.0819
411200000,1.9401,0.0351
420800000,1.9671,0.0636
430400000,1.9772,0.0346
440000000,1.9585,0.0603
449600000,1.9434,0.0647
459200000,1.9088,0.0377
468800000,1.9392,-0.0014
478400000,1.8899,0.0581
488000000,1.8524,0.0095
497600000,1.877,-0.0012
507200000,1.944,0.0342
516800000,1.9574,0.0292
526400000,1.992,0.0779
536000000,2.0135,0.0389
545600000,2.018,0.0137
555200000,1.9964,0.0562
564800000,2.0103,0.0459
574400000,1.9952,-0.0058
584000000,2.003,0.0281
593600000,1.989,0.0039
603200000,1.9914,0.0337
612800000,1.9988,0.0003
622400000,2.0328,-0.004
632000000,2.0169,0.0008
641600000,1.9959,-0.0158
651200000,1.9786,-0.0022
660800000,1.9794,-0.0398
670400000,1.9703,-0.0194
680000000,1.971,0.0041
689600000,1.9535,0.0095
699200000,1.9979,0.0276
708800000,1.9797,0.0218
718400000,1.9894,-0.0127
728000000,2.0044,-0.0466
737600000,2.0118,-0.028
747200000,2.0023,0.014
756800000,1.9862,0.0246
766400000,2.007,-0.0273
776000000,2.0116,-0.0035
785600000,2.0148,0.0129
795200000,2.013,0.0152
804800000,2.012,0.0322
814400000,2.0472,-0.0117
824000000,2.087,-0.0104
833600000,2.0316,-0.0067
843200000,2.0558,-0.0356
852800000,1.9933,-0.0488
862400000,2.0089,-0.0007
872000000,2.0188,0.0132
881600000,1.9911,-0.0298
891200000,2.0164,-0.0087
900800000,2.0201,-0.0126
910400000,2.0559,0.0099
920000000,2.0401,-0.0232
929600000,2.0264,-0.0204
939200000,2.0389,-0.0516
948800000,1.9958,-0.0379
958400000,2.0552,0.0104
968000000,2.069,0.0417
977600000,2.0293,-0.0185
987200000,2.0259,0.0208
996800000,2.0331,-0.0103
1006400000,2.0816,0.004
1016000000,2.0404,-0.0135
1025600000,2.0675,-0.0014
1035200000,2.1029,0.0504
1044800000,2.0822,0.0239
1054400000,2.0666,0.0285
1064000000,2.0537,0.0128
1073600000,2.0552,0.0036
1083200000,2.0336,0.0021
1092800000,2.004,-0.0049
1102400000,2.0484,0.02
1112000000,2.0296,-0.0295
1121600000,2.0638,-0.0025
1131200000,2.045,0.0175
1140800000,2.0554,0.0342
1150400000,2.0664,0.0281
1160000000,2.0408,-0.0042
1169600000,2.0447,0.0103
1179200000,2.0543,0.0044
1188800000,2.0262,-0.0013
1198400000,2.0137,0.0108
1208000000,1.9827,0.0138
1217600000,2.0263,-0.0128
1227200000,2.0128,-0.0214
1236800000,2.0251,-0.0159
1246400000,2.0186,-0.0097
1256000000,2.0207,-0.0227
1265600000,2.0181,-0.0215
1275200000,1.9899,-0.0275
1284800000,2.0455,0.0054
1294400000,2.0362,0.0186
1304000000,2.0344,-0.0139
1313600000,2.0497,-0.0073
1323200000,2.0481,0.0176
1332800000,2.0447,0.0232
1342400000,2.0526,-0.0147
1352000000,2.0414,-0.0002
1361600000,2.0475,-0.0072
1371200000,2.0233,-0.0137
1380800000,2.0341,-0.0127
1390400000,1.9986,0.0051
1400000000,2.0413,-0.0098
1409600000,2.0282,0.0109
1419200000,1.9988,-0.0176
1428800000,2.0364,0.0209
1438400000,2.0251,0.0039
1448000000,2.0487,-0.0132
1457600000,2.0412,-0.0192
1467200000,2.0236,-0.0095
1476800000,2.0684,0.0115
1486400000,2.0294,-0.0071
1496000000,2.0118,-0.0128
1505600000,2.0503,-0.0124
1515200000,2.0381,-0.0211
1524800000,2.0419,-0.014
1534400000,2.0462,-0.002
1544000000,2.0515,0.0003
1553600000,2.041,-0.0221
1563200000,2.0148,-0.0214
1572800000,2.0473,-0.019
1582400000,2.0513,-0.0272
1592000000,2.0207,-0.0337
1601600000,2.0589,-0.031
1611200000,2.0429,-0.0188
1620800000,2.0386,-0.0208
1630400000,2.0404,-0.031
1640000000,2.0338,-0.0402
1649600000,2.0321,-0.0326
1659200000,2.0262,-0.0345
1668800000,2.0277,-0.0233
1678400000,2.0211,-0.0308
1688000000,2.0264,-0.0333
1697600000,2.0281,-0.0005
1707200000,2.0256,-0.0225
1716800000,2.0271,-0.0224
1726400000,2.0198,-0.0173
1736000000,2.0337,-0.0312
1745600000,2.027,-0.026
1755200000,2.0325,-0.0239
1764800000,2.0337,-0.0221
1774400000,2.0067,-0.0417
1784000000,2.0343,-0.0431
1793600000,2.0318,-0.0319
1803200000,2.0478,-0.031
1812800000,2.0483,-0.0395
1822400000,2.0341,-0.0211
1832000000,2.0518,-0.0123
1841600000,2.0423,-0.0164
1851200000,2.0441,-0.051
1860800000,2.0467,-0.0378
1870400000,2.0396,-0.0241
1880000000,2.0516,-0.0357
1889600000,2.0485,-0.033
1899200000,2.0589,-0.042
1908800000,2.0514,-0.0361
1918400000,2.062,-0.0406
1928000000,2.056,-0.0154
1937600000,2.0558,-0.0251
1947200000,2.0534,-0.0394
1956800000,2.0552,-0.0215
1966400000,2.0473,-0.0388
1976000000,2.0491,-0.0337
1985600000,2.0503,-0.0406
1995200000,2.0469,-0.0206
2004800000,2.0478,-0.0259
2014400000,2.0478,-0.0328
2024000000,2.0465,-0.0245
2033600000,2.0329,-0.0391
2043200000,2.0328,-0.0376
2052800000,2.0315,-0.0304
2062400000,2.0436,-0.0321
2072000000,2.0437,-0.0362
2081600000,2.0438,-0.04
2091200000,2.0486,-0.0333
2100800000,2.0561,-0.0268
2110400000,2.0407,-0.0289
2120000000,2.0409,-0.0165
2129600000,2.0371,-0.0377
2139200000,2.0318,-0.042
2148800000,2.0309,-0.0451
2158400000,2.028,-0.054
2168000000,2.0343,-0.0586
2177600000,2.0353,-0.0587
2187200000,2.04,-0.0371
2196800000,2.0451,-0.0397
2206400000,2.0518,-0.0392
2216000000,2.0303,-0.0519
2225600000,2.0361,-0.0422
2235200000,2.0422,-0.0498
2244800000,2.0307,-0.052
2254400000,2.0425,-0.0409
2264000000,2.0451,-0.0347
2273600000,2.0518,-0.0337
2283200000,2.0466,-0.0377
2292800000,2.0434,-0.0454
2302400000,2.0511,-0.0474
2312000000,2.0523,-0.0529
2321600000,2.0425,-0.0533
2331200000,2.0646,-0.0528
2340800000,2.0481,-0.0469
2350400000,2.0536,-0.0481
2360000000,2.0625,-0.0573
2369600000,2.0595,-0.0449
2379200000,2.0648,-0.0581
2388800000,2.0624,-0.0617
2398400000,2.0648,-0.0616
2408000000,2.0657,-0.0582
2417600000,2.0651,-0.0754
2427200000,2.0571,-0.063
2436800000,2.066,-0.0613
2446400000,2.0614,-0.0577
2456000000,2.07,-0.0577
2465600000,2.0621,-0.0508
2475200000,2.0649,-0.0493
2484800000,2.0569,-0.0561
2494400000,2.044,-0.0581
2504000000,2.0382,-0.0623
2513600000,2.0455,-0.0534
2523200000,2.0433,-0.0632
2532800000,2.0314,-0.0586
2542400000,2.0451,-0.0479
2552000000,2.0413,-0.044
2561600000,2.0411,-0.0531
2571200000,2.0398,-0.0492
2580800000,2.0416,-0.0459
2590400000,2.0462,-0.0477
2600000000,2.0531,-0.0604
2609600000,2.0523,-0.0563
2619200000,2.0554,-0.0607
2628800000,2.0591,-0.0542
2638400000,2.0491,-0.056
2648000000,2.0578,-0.0667
2657600000,2.0594,-0.0576
2667200000,2.062,-0.0622
2676800000,2.0571,-0.062
2686400000,2.0603,-0.065
2696000000,2.0612,-0.0625
2705600000,2.0693,-0.0532
2715200000,2.0633,-0.0565
2724800000,2.0646,-0.0555
2734400000,2.0674,-0.0581
2744000000,2.067,-0.0497
2753600000,2.0696,-0.057
2763200000,2.0679,-0.0618
2772800000,2.0704,-0.0607
2782400000,2.0645,-0.0637
2792000000,2.0638,-0.0617
2801600000,2.0658,-0.0585
2811200000,2.0696,-0.0576
2820800000,2.0635,-0.0627
2830400000,2.0676,-0.0646
2840000000,2.0689,-0.0584
2849600000,2.0666,-0.0633
2859200000,2.0647,-0.0639
2868800000,2.0652,-0.0725
2878400000,2.0643,-0.0665
2888000000,2.0625,-0.0621
2897600000,2.0491,-0.0616
2907200000,2.0582,-0.0711
2916800000,2.0559,-0.0666
2926400000,2.0516,-0.0606
2936000000,2.0535,-0.0637
2945600000,2.0479,-0.0711
2955200000,2.045,-0.0754
2964800000,2.0552,-0.0703
2974400000,2.046,-0.0728
2984000000,2.043,-0.0768
2993600000,2.0402,-0.0752
3003200000,2.0401,-0.0822
3012800000,2.0425,-0.067
3022400000,2.0309,-0.0783
3032000000,2.0367,-0.0798
3041600000,2.0337,-0.0758
3051200000,2.0381,-0.0752
3060800000,2.0384,-0.0645
3070400000,2.0382,-0.0688
3080000000,2.0356,-0.0753
3089600000,2.0345,-0.0774
3099200000,2.037,-0.0647
3108800000,2.0369,-0.0703
3118400000,2.0373,-0.0761
3128000000,2.0332,-0.0768
3137600000,2.0352,-0.0754
3147200000,2.0392,-0.0732
3156800000,2.0393,-0.0666
3166400000,2.048,-0.0665
3176000000,2.0504,-0.0707
3185600000,2.0508,-0.0722
3195200000,2.0533,-0.0711
3204800000,2.0576,-0.0778
3214400000,2.067,-0.0886
3224000000,2.0656,-0.074
3233600000,2.062,-0.0837
3243200000,2.0705,-0.0804
3252800000,2.0734,-0.0693
3262400000,2.0787,-0.0742
3272000000,2.0796,-0.0771
3281600000,2.0727,-0.0842
3291200000,2.0737,-0.0813
3300800000,2.0772,-0.0807
3310400000,2.0738,-0.0804
3320000000,2.0729,-0.076
3329600000,2.07,-0.0776
3339200000,2.0679,-0.0811
3348800000,2.0717,-0.0894
3358400000,2.0704,-0.0834
3368000000,2.0623,-0.0867
3377600000,2.0637,-0.0851
3387200000,2.0551,-0.095
3396800000,2.0483,-0.0857
3406400000,2.0429,-0.0902
3416000000,2.0446,-0.0753
3425600000,2.0386,-0.0804
3435200000,2.0455,-0.08
3444800000,2.0432,-0.082
3454400000,2.0389,-0.087
3464000000,2.0375,-0.0948
3473600000,2.0353,-0.0917
3483200000,2.029,-0.0916
3492800000,2.0222,-0.0819
3502400000,2.0206,-0.0884
3512000000,2.0175,-0.0848
3521600000,2.0178,-0.0854
3531200000,2.0217,-0.0737
3540800000,2.0211,-0.0791
3550400000,2.0283,-0.0783
3560000000,2.0241,-0.0803
3569600000,2.0269,-0.0873
3579200000,2.0272,-0.081
3588800000,2.0293,-0.0861
3598400000,2.023,-0.0804
3608000000,2.0288,-0.0823
3617600000,2.0249,-0.0842
3627200000,2.0277,-0.0855
3636800000,2.0333,-0.0851
3646400000,2.0393,-0.0781
3656000000,2.0417,-0.0817
3665600000,2.0452,-0.0891
3675200000,2.0495,-0.0779
3684800000,2.0489,-0.0871
3694400000,2.0473,-0.0839
3704000000,2.0579,-0.0808
3713600000,2.054,-0.0853
3723200000,2.0589,-0.0833
3732800000,2.055,-0.0898
3742400000,2.0574,-0.0902
3752000000,2.0599,-0.0921
3761600000,2.0559,-0.0991
3771200000,2.0595,-0.0892
3780800000,2.0633,-0.0868
3790400000,2.0604,-0.0877
3800000000,2.0617,-0.0995
3809600000,2.0611,-0.0985
3819200000,2.06,-0.0993
3828800000,2.0571,-0.1026
3838400000,2.0553,-0.1019
3848000000,2.0478,-0.0982
3857600000,2.0453,-0.1004
3867200000,2.0448,-0.1057
3876800000,2.0452,-0.1067
3886400000,2.0466,-0.1026
3896000000,2.0433,-0.1057
3905600000,2.0426,-0.1035
3915200000,2.0421,-0.1052
3924800000,2.0348,-0.1058
3934400000,2.0231,-0.1084
3944000000,2.0179,-0.1148
3953600000,2.0094,-0.1235
3963200000,2.008,-0.1203
3972800000,2.0004,-0.1109
3982400000,2.0065,-0.1015
3992000000,2.0081,-0.1072
4001600000,2.0084,-0.1046
4011200000,2.0126,-0.1043
4020800000,2.0097,-0.1037
4030400000,2.0114,-0.1069
4040000000,2.0038,-0.1103
4049600000,2.0111,-0.1136
4059200000,2.0028,-0.1064
4068800000,2.0096,-0.1097
4078400000,2.0211,-0.0982
4088000000,2.026,-0.0916
4097600000,2.0344,-0.0987
4107200000,2.0342,-0.1015
4116800000,2.0417,-0.0981
4126400000,2.0431,-0.1108
4136000000,2.046,-0.1081
4145600000,2.0428,-0.11
4155200000,2.0487,-0.1034
4164800000,2.0498,-0.1105
4174400000,2.0507,-0.11
4184000000,2.0548,-0.1093
4193600000,2.0593,-0.101
4203200000,2.0603,-0.1045
4212800000,2.0588,-0.1049
4222400000,2.0554,-0.1091
4232000000,2.0583,-0.1083
4241600000,2.0634,-0.1135
4251200000,2.0581,-0.1166
4260800000,2.0606,-0.1164
4270400000,2.0638,-0.1106
4280000000,2.0642,-0.1087
4289600000,2.0605,-0.1135
4299200000,2.0604,-0.1114
4308800000,2.0552,-0.116
4318400000,2.0504,-0.1188
4328000000,2.0491,-0.1228
4337600000,2.0407,-0.1189
4347200000,2.0394,-0.1123
4356800000,2.0411,-0.1125
4366400000,2.036,-0.1114
4376000000,2.0362,-0.1111
4385600000,2.0324,-0.1111
4395200000,2.0253,-0.116
4404800000,2.0209,-0.1178
4414400000,2.019,-0.1094
4424000000,2.0127,-0.1196
4433600000,2.0021,-0.1167
4443200000,2.0136,-0.1129
4452800000,2.0204,-0.1052
4462400000,2.0228,-0.1091
4472000000,2.0232,-0.11
4481600000,2.0237,-0.1047
4491200000,2.0198,-0.1088
4500800000,2.0166,-0.1153
4510400000,2.01,-0.1127
4520000000,1.9982,-0.1102
4529600000,2.0026,-0.1088
4539200000,2.0048,-0.1084
4548800000,2.0116,-0.1008
4558400000,2.018,-0.0995
4568000000,2.0142,-0.1006
4577600000,2.0173,-0.0985
4587200000,2.0202,-0.1091
4596800000,2.0221,-0.1085
4606400000,2.0206,-0.1126
4616000000,2.0247,-0.1187
4625600000,2.0304,-0.112
4635200000,2.0262,-0.1129
4644800000,2.0429,-0.113
4654400000,2.0471,-0.1152
4664000000,2.0482,-0.1169
4673600000,2.0489,-0.1195
4683200000,2.0484,-0.1249
4692800000,2.0428,-0.127
4702400000,2.0447,-0.1286
4712000000,2.0436,-0.1245
4721600000,2.0508,-0.1241
4731200000,2.0506,-0.1271
4740800000,2.0522,-0.125
4750400000,2.0511,-0.1276
4760000000,2.049,-0.128
4769600000,2.045,-0.1323
4779200000,2.0365,-0.1334
4788800000,2.032,-0.139
4798400000,2.0265,-0.1365
4808000000,2.0258,-0.1417
4817600000,2.0239,-0.134
4827200000,2.0269,-0.1289
4836800000,2.0296,-0.1305
4846400000,2.0295,-0.1322
4856000000,2.0265,-0.1337
4865600000,2.0235,-0.1375
4875200000,2.0165,-0.1377
4884800000,2.0106,-0.1379
4894400000,2.004,-0.1317
4904000000,2.0036,-0.1284
4913600000,2.0027,-0.1269
4923200000,2.0029,-0.1262
4932800000,2.0063,-0.122
4942400000,2.009,-0.1279
4952000000,2.008,-0.131
4961600000,2.0096,-0.1312
4971200000,2.0081,-0.1334
4980800000,2.0147,-0.128
4990400000,2.0119,-0.1342
5000000000,2.0046,-0.1311
